City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Lensk,RU,70.95,broken clouds,60.7253,114.9278,ТинОрС
90,Dubrovnik,HR,80.24,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
92,Luganville,VU,82.35,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
93,Sao Filipe,CV,74.19,few clouds,14.8961,-24.4956,Hotel Xaguate
94,Georgetown,MY,83.89,light rain,5.4112,100.3354,Cititel Penang
96,Port Arthur,CN,80.82,light rain,38.8,121.2667,Friendship Hotel
97,Pinotepa Nacional,MX,84.0,few clouds,16.3167,-98.0167,Hotel Maria Del Carmen
98,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
99,Bubaque,GW,80.28,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
101,Bengkulu,ID,75.51,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
103,Rovinj,HR,71.29,broken clouds,45.08,13.64,Hotel Monte Mulini
104,Nanakuli,US,84.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
109,Komsomolskiy,UZ,74.62,clear sky,40.4272,71.7189,Ikathouse
114,Bang Saphan,TH,84.94,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
119,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
120,Salinopolis,BR,79.41,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
123,Hasaki,JP,82.8,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
126,Sidi Bin Nur,TN,76.91,clear sky,35.5333,10.9167,Chalet El Aila
130,Tahoua,NE,87.13,broken clouds,14.8888,5.2692,Bungalows Guesthouse
134,Phan Thiet,VN,79.93,overcast clouds,10.9333,108.1,Hotel Saigon-PT
136,Agropoli,IT,76.28,clear sky,40.3469,14.9966,B&B Baia di Trentova
137,Manado,ID,83.17,few clouds,1.487,124.8455,Aryaduta Hotel
138,Zhezkazgan,KZ,71.37,clear sky,47.8043,67.7144,Hotel Zumrat
139,Hithadhoo,MV,79.66,overcast clouds,-0.6,73.0833,Scoop Guest House
141,San Quintin,MX,74.25,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
143,Bonito Oriental,HN,85.62,scattered clouds,15.7477,-85.7356,Hotel Las Acacias
144,Kavaratti,IN,81.43,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
145,Grand Gaube,MU,70.2,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
147,Palmer,US,75.81,overcast clouds,42.1584,-72.3287,Wedgewood Motel
148,Lompoc,US,84.56,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
150,Alta Floresta,BR,76.44,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
151,Faanui,PF,78.03,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
152,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
154,Thompson,CA,80.76,smoke,55.7435,-97.8558,Burntwood Hotel
156,Porto Novo,BJ,78.62,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
157,Fare,PF,77.47,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
159,Pangai,TO,80.71,light rain,-19.8,-174.35,Ha'apai Beach Resort
160,Kirakira,SB,83.75,scattered clouds,-10.4544,161.9205,SanBiz Lodge
161,Dumai,ID,76.37,overcast clouds,1.6833,101.45,Grand Zuri Dumai
162,Padang,ID,77.09,broken clouds,-0.9492,100.3543,Mercure Padang
167,Courtenay,CA,77.99,scattered clouds,49.6866,-124.9936,Bayview Hotel
168,Uniontown,US,76.75,scattered clouds,39.9001,-79.7164,Fairfield Inn by Marriott Uniontown
169,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
170,Greeneville,US,85.93,clear sky,36.1632,-82.831,General Morgan Inn and Conference Center
171,San Policarpo,PH,84.24,overcast clouds,12.1791,125.5072,JM Lodge
172,Alihe,CN,76.64,broken clouds,50.5667,123.7167,Alihe Forestry Hotel
173,Sergeyevka,KZ,73.87,scattered clouds,53.88,67.4158,Amina
175,Conde,BR,74.66,clear sky,-7.2597,-34.9075,Pousada Beija Flor
181,Cantanhede,BR,75.25,few clouds,-3.6333,-44.3767,HOTEL FE EM DEUS
182,Flin Flon,CA,76.84,thunderstorm,54.7682,-101.865,Victoria Inn Flin Flon
184,Tuban,ID,77.7,broken clouds,-6.8976,112.0649,Hotel Mustika
186,Lazaro Cardenas,MX,85.14,scattered clouds,17.9583,-102.2,quinta antigua
187,Policoro,IT,76.6,clear sky,40.2115,16.6726,Hotel Hermes
191,Portland,US,84.63,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
193,Puerto Ayacucho,VE,75.69,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
195,Baglan,AF,80.65,clear sky,36.1307,68.7083,Habibullah MOsazai
202,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
203,Yinchuan,CN,78.66,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
204,Puerto Baquerizo Moreno,EC,71.96,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
207,Bethel,US,77.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
208,Manoharpur,IN,79.75,overcast clouds,27.3,75.95,कैथल हरियाणा होटल
215,Pafos,CY,78.71,overcast clouds,34.7667,32.4167,Elysium Hotel
222,Tamiahua,MX,84.4,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
225,Gigmoto,PH,83.19,light rain,13.7796,124.39,Cj's Travellers Inn
227,Oussouye,SN,84.38,broken clouds,12.485,-16.5469,Auberge du Routard
230,Naze,JP,77.92,light rain,28.3667,129.4833,奄美ポートタワーホテル
234,Namatanai,PG,83.64,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
236,Bharuch,IN,81.37,overcast clouds,21.7,72.9667,Krishna Guest House
247,Porto Santo,PT,73.31,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
248,Chubbuck,US,87.69,broken clouds,42.9208,-112.4661,Clarion Inn Pocatello
249,Quzhou,CN,79.86,scattered clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
251,San Patricio,US,87.89,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
255,Takoradi,GH,74.93,scattered clouds,4.8845,-1.7554,Raybow International Hotel
256,Altay,CN,72.84,overcast clouds,47.8667,88.1167,Jinqiao Hotel
259,Miraflores,MX,72.01,overcast clouds,19.2167,-98.8083,Hotel Mansión
262,Hamilton,US,81.77,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
264,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
265,Ambulu,ID,75.78,clear sky,-8.345,113.6058,Hotel Ambulu Jember
271,Gadsden,US,88.03,broken clouds,34.0143,-86.0066,Hampton Inn Gadsden
275,Juba,SS,70.14,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
276,Pundaguitan,PH,84.16,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
279,San Andres,CO,86.02,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
282,Beatrice,US,89.73,clear sky,40.2681,-96.747,Victorian Inn Beatrice
284,Caravelas,BR,70.99,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
285,Polis,CY,76.82,clear sky,35.0367,32.4264,Marion
287,Salvador,SV,86.04,broken clouds,13.8333,-88.9167,Chico's Ranch
291,Fukue,JP,77.36,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
293,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
296,North Vernon,US,80.94,broken clouds,39.0062,-85.6236,Quality Inn North Vernon Near Hwy 50
301,Guerrero Negro,MX,78.1,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
305,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
306,Srandakan,ID,75.97,scattered clouds,-7.9386,110.2506,Puri Brata
309,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
310,Derzhavinsk,KZ,70.93,clear sky,51.1,66.3167,Ooo.khim Baza
317,Ushtobe,KZ,73.81,few clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
