City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Severo-Yeniseyskiy,RU,7/21/2021 18:07,60.3725,93.0408,49.82,96,66,3.53
97,Baykit,RU,7/21/2021 18:07,61.67,96.37,53.76,91,78,1.9
98,Bredasdorp,ZA,7/21/2021 18:07,-34.5322,20.0403,44.28,78,86,15.32
99,Ilulissat,GL,7/21/2021 18:07,69.2167,-51.1,42.08,75,71,4.21
100,Nhulunbuy,AU,7/21/2021 18:07,-12.2333,136.7667,66.81,88,67,3.44
101,Balmedie,GB,7/21/2021 18:07,57.2505,-2.0616,66.43,82,67,8.05
102,Lorengau,PG,7/21/2021 18:07,-2.0226,147.2712,81.23,74,100,3.98
103,Saldanha,ZA,7/21/2021 18:07,-33.0117,17.9442,51.66,61,84,18.66
104,Statesboro,US,7/21/2021 18:06,32.4488,-81.7832,89.13,62,40,4.61
105,Bulgan,MN,7/21/2021 18:07,48.8125,103.5347,52.95,94,15,1.99
106,Aykhal,RU,7/21/2021 18:07,66,111.5,56.95,91,100,7.29
107,Aviles,ES,7/21/2021 18:07,43.5547,-5.9248,73.38,82,75,3
108,Los Llanos De Aridane,ES,7/21/2021 18:07,28.6585,-17.9182,71.35,84,20,19.57
109,Kavaratti,IN,7/21/2021 18:07,10.5669,72.642,82.2,82,100,19.39
110,Tual,ID,7/21/2021 18:07,-5.6667,132.75,80.19,80,98,17
111,Bell Ville,AR,7/21/2021 18:07,-32.6259,-62.6887,68.59,26,4,16.4
112,Luderitz,NA,7/21/2021 18:07,-26.6481,15.1594,56.32,46,0,27.04
113,Ostrovnoy,RU,7/21/2021 18:07,68.0531,39.5131,48.06,75,99,15.35
114,Una,IN,7/21/2021 18:07,20.8167,71.0333,82.36,83,100,21.99
115,Bubaque,GW,7/21/2021 18:07,11.2833,-15.8333,81,81,100,11.43
116,Husavik,IS,7/21/2021 18:07,66.0449,-17.3389,59.02,70,10,2.86
117,Olafsvik,IS,7/21/2021 18:07,64.8945,-23.7142,53.37,89,16,13.18
118,Te Anau,NZ,7/21/2021 18:07,-45.4167,167.7167,43.95,95,100,3.11
119,Palmer,US,7/21/2021 18:03,42.1584,-72.3287,82.26,61,75,4.61
120,Copiapo,CL,7/21/2021 18:07,-27.3667,-70.3333,55.09,16,35,5.26
121,Cermei,RO,7/21/2021 18:07,46.55,21.85,75.18,74,42,5.73
122,Santa Cruz Del Sur,CU,7/21/2021 18:07,20.7147,-77.9956,88.16,65,2,8.16
123,Atuona,PF,7/21/2021 18:07,-9.8,-139.0333,77.7,66,92,19.42
124,Sistranda,NO,7/21/2021 18:07,63.7256,8.834,55.36,80,4,23.98
125,Mgandu,TZ,7/21/2021 18:07,-5.95,34.1333,65.07,43,1,4.97
126,Muros,ES,7/21/2021 18:07,42.7762,-9.0603,78.67,76,66,13.11
127,Dingle,PH,7/21/2021 18:07,10.9995,122.6711,78.57,79,99,11.77
128,Chapais,CA,7/21/2021 18:07,49.7834,-74.8492,71.85,28,22,6.46
129,Tondano,ID,7/21/2021 18:07,1.3038,124.9112,69.89,94,80,3.09
130,Turinskaya Sloboda,RU,7/21/2021 18:07,57.6232,64.3858,64.6,96,37,5.35
131,Mehamn,NO,7/21/2021 18:07,71.0357,27.8492,46.58,81,90,27.63
132,Provideniya,RU,7/21/2021 18:07,64.3833,-173.3,41.54,82,100,5.79
133,Dikson,RU,7/21/2021 18:07,73.5069,80.5464,52.86,62,85,17.9
134,Kashi,CN,7/21/2021 18:07,39.4547,75.9797,66.49,70,100,4.59
135,Sehithwa,BW,7/21/2021 18:07,-20.4667,22.7167,61.65,25,0,6.2
136,Prince Rupert,CA,7/21/2021 18:03,54.3161,-130.3201,60.21,70,90,3.76
137,Kruisfontein,ZA,7/21/2021 18:07,-34.0033,24.7314,46.89,78,83,28.7
138,Vostok,RU,7/21/2021 18:07,46.4856,135.8833,66.52,94,20,3.85
139,Quatre Cocos,MU,7/21/2021 18:07,-20.2078,57.7625,71.1,65,99,20.15
140,Codrington,AU,7/21/2021 18:07,-38.2667,141.9667,41.65,94,100,9.48
141,Sambava,MG,7/21/2021 18:07,-14.2667,50.1667,72.05,85,50,14.43
142,Shimoda,JP,7/21/2021 18:07,34.6667,138.95,75.11,84,10,3.83
143,Velsk,RU,7/21/2021 18:07,61.0701,42.0983,54.82,58,65,3.44
144,Norman Wells,CA,7/21/2021 18:07,65.282,-126.8329,76.89,42,89,8.01
145,Isla Mujeres,MX,7/21/2021 18:07,21.2311,-86.731,85.98,69,4,9.86
146,Boa Vista,BR,7/21/2021 18:07,2.8197,-60.6733,89.58,51,40,3.44
147,Clyde River,CA,7/21/2021 18:07,70.4692,-68.5914,38.21,81,96,2.19
148,Mahebourg,MU,7/21/2021 18:07,-20.4081,57.7,71.26,67,92,21.34
149,Primorsk,UA,7/21/2021 18:07,46.7348,36.3443,73.29,71,0,19.82
150,Hasaki,JP,7/21/2021 18:07,35.7333,140.8333,73.8,87,8,3.58
151,Klaksvik,FO,7/21/2021 18:07,62.2266,-6.589,56.32,88,7,17.45
152,Sosnovo-Ozerskoye,RU,7/21/2021 18:07,52.5249,111.5418,55.27,98,100,8.39
153,Aswan,EG,7/21/2021 18:07,24.0934,32.907,101.59,14,90,10.6
154,San Felipe,VE,7/21/2021 18:07,10.3399,-68.7425,91.51,40,38,7.4
155,Vikhorevka,RU,7/21/2021 18:07,56.1201,101.1636,63.99,92,93,5.93
156,Vila,PT,7/21/2021 18:07,42.0304,-8.1588,78.75,59,3,6.02
157,Shelburne,CA,7/21/2021 18:07,44.0787,-80.2041,72.66,34,0,11.25
158,Isangel,VU,7/21/2021 18:07,-19.55,169.2667,74.39,87,46,1.66
159,Dubna,RU,7/21/2021 18:07,56.7333,37.1667,58.06,90,76,5.48
160,Baghdad,IQ,7/21/2021 18:07,33.3406,44.4009,105.71,18,0,11.5
161,Salalah,OM,7/21/2021 18:07,17.0151,54.0924,78.89,94,75,6.91
162,Vila Velha,BR,7/21/2021 18:07,-20.3297,-40.2925,73.35,64,20,10.36
163,Goya,AR,7/21/2021 18:07,-29.14,-59.2626,70.57,28,0,6.44
164,Tuatapere,NZ,7/21/2021 18:07,-46.1333,167.6833,44.82,88,100,5.08
165,Rio Grande,BR,7/21/2021 18:07,-32.035,-52.0986,66.31,47,2,6.02
166,Bambous Virieux,MU,7/21/2021 18:07,-20.3428,57.7575,71.22,65,98,20.83
167,Mafeteng,LS,7/21/2021 18:07,-29.823,27.2374,34.74,31,0,6.82
168,Puerto Ayora,EC,7/21/2021 18:07,-0.7393,-90.3518,75.54,88,100,10
169,Laguna,US,7/21/2021 18:04,38.421,-121.4238,94.84,49,1,3
170,Ayan,RU,7/21/2021 18:07,56.45,138.1667,57.79,95,22,7.65
171,Salekhard,RU,7/21/2021 18:03,66.53,66.6019,53.15,89,71,7.87
172,Ponta Do Sol,PT,7/21/2021 18:07,32.6667,-17.1,75.83,76,0,0.92
173,Geraldton,AU,7/21/2021 18:07,-28.7667,114.6,59.41,94,90,4.61
174,Belvidere,US,7/21/2021 18:07,42.2639,-88.8443,75.38,89,100,3.22
175,Pisco,PE,7/21/2021 18:07,-13.7,-76.2167,65.01,77,40,8.05
176,Portree,GB,7/21/2021 18:07,57.4129,-6.1942,66.85,83,1,6.29
177,Ewa Beach,US,7/21/2021 18:07,21.3156,-158.0072,80.55,73,75,10
178,Sur,OM,7/21/2021 18:07,22.5667,59.5289,95.83,41,67,17.11
179,Leningradskiy,RU,7/21/2021 18:07,69.3833,178.4167,36.91,80,100,5.12
180,Namibe,AO,7/21/2021 18:07,-15.1961,12.1522,66.13,79,0,4.38
