City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
95,Longyearbyen,SJ,2021-07-22 23:34:53,78.2186,15.6401,44.44,81,75,19.57,broken clouds
96,Port Arthur,CN,2021-07-22 23:34:54,38.8,121.2667,80.82,81,100,2.91,light rain
97,Pinotepa Nacional,MX,2021-07-22 23:34:54,16.3167,-98.0167,84.0,70,22,4.43,few clouds
98,Alofi,NU,2021-07-22 23:32:53,-19.0595,-169.9187,80.49,83,75,9.22,broken clouds
99,Bubaque,GW,2021-07-22 23:34:54,11.2833,-15.8333,80.28,85,34,15.75,light rain
100,Camopi,GF,2021-07-22 23:34:55,3.1655,-52.3158,72.88,99,62,2.51,broken clouds
101,Bengkulu,ID,2021-07-22 23:34:55,-3.8004,102.2655,75.51,84,69,3.4,broken clouds
102,Viedma,AR,2021-07-22 23:33:17,-40.8135,-62.9967,55.63,37,94,9.04,overcast clouds
103,Rovinj,HR,2021-07-22 23:34:55,45.08,13.64,71.29,69,58,4.81,broken clouds
104,Nanakuli,US,2021-07-22 23:34:56,21.3906,-158.1547,84.15,69,90,10.36,overcast clouds
105,Carnarvon,AU,2021-07-22 23:34:56,-24.8667,113.6333,57.27,78,6,3.44,clear sky
106,Mulege,MX,2021-07-22 23:34:56,26.8833,-111.9833,94.32,46,54,8.19,broken clouds
107,Aykhal,RU,2021-07-22 23:34:57,66.0,111.5,66.52,44,65,9.6,broken clouds
108,Moranbah,AU,2021-07-22 23:34:57,-22.0016,148.0466,68.7,53,8,16.58,clear sky
109,Komsomolskiy,UZ,2021-07-22 23:34:57,40.4272,71.7189,74.62,43,1,6.91,clear sky
110,East London,ZA,2021-07-22 23:34:57,-33.0153,27.9116,51.71,70,99,21.16,light rain
111,Tuatapere,NZ,2021-07-22 23:34:58,-46.1333,167.6833,46.81,70,12,5.55,few clouds
112,Clyde River,CA,2021-07-22 23:33:52,70.4692,-68.5914,37.63,100,90,6.91,light rain
113,Havoysund,NO,2021-07-22 23:34:58,70.9963,24.6622,43.68,77,100,20.6,overcast clouds
114,Bang Saphan,TH,2021-07-22 23:34:58,11.2126,99.5117,84.94,80,100,7.36,overcast clouds
115,Ilulissat,GL,2021-07-22 23:34:59,69.2167,-51.1,44.62,81,99,3.44,overcast clouds
116,Hermanus,ZA,2021-07-22 23:32:27,-34.4187,19.2345,43.9,78,29,10.47,scattered clouds
117,Samfya,ZM,2021-07-22 23:34:59,-11.3649,29.5565,59.11,55,2,6.15,clear sky
118,Cape Town,ZA,2021-07-22 23:32:33,-33.9258,18.4232,47.1,79,0,8.05,clear sky
119,Acapulco,MX,2021-07-22 23:32:55,16.8634,-99.8901,87.62,66,1,9.22,clear sky
120,Salinopolis,BR,2021-07-22 23:35:00,-0.6136,-47.3561,79.41,83,40,12.35,scattered clouds
121,Lavrentiya,RU,2021-07-22 23:35:00,65.5833,-171.0,43.03,80,99,2.55,overcast clouds
122,Oga,IT,2021-07-22 23:35:00,46.4631,10.347,57.88,86,15,1.97,few clouds
123,Hasaki,JP,2021-07-22 23:35:01,35.7333,140.8333,82.8,71,52,4.5,broken clouds
124,Qaanaaq,GL,2021-07-22 23:35:01,77.484,-69.3632,45.27,65,32,1.7,scattered clouds
125,Cidreira,BR,2021-07-22 23:35:02,-30.1811,-50.2056,58.82,84,20,15.26,few clouds
126,Sidi Bin Nur,TN,2021-07-22 23:35:02,35.5333,10.9167,76.91,68,0,5.91,clear sky
127,Adrar,MR,2021-07-22 23:35:02,20.5022,-10.0711,90.09,14,11,9.78,few clouds
128,Tanout,NE,2021-07-22 23:35:03,14.9709,8.8879,86.18,50,63,14.72,broken clouds
129,Beloha,MG,2021-07-22 23:35:04,-25.1667,45.05,65.46,78,4,3.02,clear sky
130,Tahoua,NE,2021-07-22 23:35:04,14.8888,5.2692,87.13,49,84,8.63,broken clouds
131,Ventspils,LV,2021-07-22 23:33:59,57.3894,21.5606,69.73,78,0,13.8,clear sky
132,Coquimbo,CL,2021-07-22 23:30:32,-29.9533,-71.3436,51.53,87,90,2.3,overcast clouds
133,Baykit,RU,2021-07-22 23:35:04,61.67,96.37,64.38,66,74,1.77,broken clouds
134,Phan Thiet,VN,2021-07-22 23:35:05,10.9333,108.1,79.93,79,100,13.78,overcast clouds
135,Upernavik,GL,2021-07-22 23:35:05,72.7868,-56.1549,40.39,95,100,3.47,overcast clouds
136,Agropoli,IT,2021-07-22 23:35:05,40.3469,14.9966,76.28,77,0,4.38,clear sky
137,Manado,ID,2021-07-22 23:35:06,1.487,124.8455,83.17,78,20,3.44,few clouds
138,Zhezkazgan,KZ,2021-07-22 23:35:06,47.8043,67.7144,71.37,44,0,8.46,clear sky
139,Hithadhoo,MV,2021-07-22 23:35:06,-0.6,73.0833,79.66,81,100,10.02,overcast clouds
140,Lebu,CL,2021-07-22 23:35:07,-37.6167,-73.65,49.95,88,100,6.44,overcast clouds
141,San Quintin,MX,2021-07-22 23:35:07,30.4833,-115.95,74.25,72,3,11.3,clear sky
142,Atocha,BO,2021-07-22 23:35:07,-20.9333,-66.2333,44.87,23,0,6.44,clear sky
143,Bonito Oriental,HN,2021-07-22 23:35:08,15.7477,-85.7356,85.62,60,32,6.35,scattered clouds
144,Kavaratti,IN,2021-07-22 23:35:08,10.5669,72.642,81.43,80,100,25.75,light rain
145,Grand Gaube,MU,2021-07-22 23:35:08,-20.0064,57.6608,70.2,71,47,4.0,light rain
146,Nome,US,2021-07-22 23:33:15,64.5011,-165.4064,51.17,71,20,17.27,few clouds
147,Palmer,US,2021-07-22 23:33:11,42.1584,-72.3287,75.81,58,100,1.34,overcast clouds
148,Lompoc,US,2021-07-22 23:34:36,34.6391,-120.4579,84.56,73,75,16.11,broken clouds
149,Mango,US,2021-07-22 23:35:09,27.9797,-82.3065,91.31,74,1,6.91,clear sky
150,Alta Floresta,BR,2021-07-22 23:35:10,-9.8756,-56.0861,76.44,32,0,3.67,clear sky
151,Faanui,PF,2021-07-22 23:33:38,-16.4833,-151.75,78.03,68,36,15.48,scattered clouds
152,Puerto Colombia,CO,2021-07-22 23:35:10,10.9878,-74.9547,82.49,86,99,26.46,overcast clouds
153,Brighton,GB,2021-07-22 23:35:10,50.8284,-0.1395,66.78,75,42,1.99,scattered clouds
154,Thompson,CA,2021-07-22 23:31:56,55.7435,-97.8558,80.76,54,40,9.22,smoke
155,Gravdal,NO,2021-07-22 23:34:13,68.1214,13.5031,48.67,79,100,11.48,overcast clouds
156,Porto Novo,BJ,2021-07-22 23:35:11,6.4965,2.6036,78.62,80,17,8.75,few clouds
157,Fare,PF,2021-07-22 23:35:11,-16.7,-151.0167,77.47,68,35,14.12,scattered clouds
158,Half Moon Bay,US,2021-07-22 23:35:12,37.4636,-122.4286,91.22,72,1,16.11,clear sky
159,Pangai,TO,2021-07-22 23:35:12,-19.8,-174.35,80.71,74,20,11.5,light rain
160,Kirakira,SB,2021-07-22 23:35:12,-10.4544,161.9205,83.75,73,31,8.12,scattered clouds
161,Dumai,ID,2021-07-22 23:35:12,1.6833,101.45,76.37,93,99,2.68,overcast clouds
162,Padang,ID,2021-07-22 23:35:13,-0.9492,100.3543,77.09,83,71,4.54,broken clouds
163,Tamala,RU,2021-07-22 23:35:13,52.541,43.2515,56.03,77,47,7.65,scattered clouds
164,Yeniseysk,RU,2021-07-22 23:35:13,58.4497,92.1703,62.01,70,17,1.12,few clouds
165,Torbay,CA,2021-07-22 23:32:39,47.6666,-52.7314,52.57,99,90,12.66,light intensity drizzle
166,Ordynskoye,RU,2021-07-22 23:35:14,54.3656,81.8994,61.66,83,34,7.2,scattered clouds
167,Courtenay,CA,2021-07-22 23:35:14,49.6866,-124.9936,77.99,40,40,10.36,scattered clouds
168,Uniontown,US,2021-07-22 23:35:15,39.9001,-79.7164,76.75,47,36,1.9,scattered clouds
169,Puerto Escondido,MX,2021-07-22 23:35:15,15.85,-97.0667,86.83,62,75,0.0,broken clouds
170,Greeneville,US,2021-07-22 23:33:16,36.1632,-82.831,85.93,61,1,0.0,clear sky
171,San Policarpo,PH,2021-07-22 23:35:15,12.1791,125.5072,84.24,67,100,14.56,overcast clouds
172,Alihe,CN,2021-07-22 23:35:16,50.5667,123.7167,76.64,78,83,4.9,broken clouds
173,Sergeyevka,KZ,2021-07-22 23:35:16,53.88,67.4158,73.87,39,44,14.25,scattered clouds
174,Tiksi,RU,2021-07-22 23:35:17,71.6872,128.8694,44.69,75,100,7.43,overcast clouds
175,Conde,BR,2021-07-22 23:35:17,-7.2597,-34.9075,74.66,83,0,8.05,clear sky
176,Tessalit,ML,2021-07-22 23:35:17,20.1986,1.0114,83.86,50,100,20.33,overcast clouds
177,Ancud,CL,2021-07-22 23:32:10,-41.8697,-73.8203,47.73,93,100,7.25,overcast clouds
178,Katherine,AU,2021-07-22 23:35:18,-14.4667,132.2667,64.72,55,36,3.44,scattered clouds
179,Rawson,AR,2021-07-22 23:35:18,-43.3002,-65.1023,55.35,39,100,9.95,overcast clouds
180,Nikolskoye,RU,2021-07-22 23:35:18,59.7035,30.7861,62.49,75,97,5.35,overcast clouds
181,Cantanhede,BR,2021-07-22 23:35:19,-3.6333,-44.3767,75.25,69,22,3.96,few clouds
182,Flin Flon,CA,2021-07-22 23:35:19,54.7682,-101.865,76.84,73,75,11.5,thunderstorm
183,Gulu,UG,2021-07-22 23:35:19,2.7746,32.299,64.53,84,20,2.53,few clouds
184,Tuban,ID,2021-07-22 23:35:20,-6.8976,112.0649,77.7,81,66,8.08,broken clouds
185,Barrow,US,2021-07-22 23:35:20,71.2906,-156.7887,39.22,81,90,13.8,overcast clouds
186,Lazaro Cardenas,MX,2021-07-22 23:35:20,17.9583,-102.2,85.14,75,35,8.5,scattered clouds
187,Policoro,IT,2021-07-22 23:35:21,40.2115,16.6726,76.6,39,0,5.57,clear sky
188,Lasa,IT,2021-07-22 23:35:21,46.6166,10.7002,65.28,84,13,2.48,few clouds
189,Linxia,CN,2021-07-22 23:35:21,35.6003,103.2064,69.51,63,56,1.5,broken clouds
190,Flinders,AU,2021-07-22 23:32:03,-34.5833,150.8552,55.38,65,94,7.0,light rain
191,Portland,US,2021-07-22 23:33:47,45.5234,-122.6762,84.63,37,20,3.0,few clouds
192,Namibe,AO,2021-07-22 23:35:22,-15.1961,12.1522,65.25,76,1,3.09,clear sky
193,Puerto Ayacucho,VE,2021-07-22 23:35:22,5.6639,-67.6236,75.69,92,87,2.91,overcast clouds
194,Port Elizabeth,ZA,2021-07-22 23:31:55,-33.918,25.5701,50.29,76,75,8.05,broken clouds
195,Baglan,AF,2021-07-22 23:35:22,36.1307,68.7083,80.65,23,0,3.87,clear sky
196,Burnie,AU,2021-07-22 23:32:06,-41.0667,145.9167,50.92,82,100,12.48,overcast clouds
197,Yerbogachen,RU,2021-07-22 23:35:23,61.2767,108.0108,65.86,71,96,2.37,overcast clouds
198,General Jose Eduvigis Diaz,PY,2021-07-22 23:35:23,-27.1667,-58.4167,69.84,47,13,6.98,few clouds
199,La Rioja,ES,2021-07-22 23:34:34,42.25,-2.5,68.04,23,4,7.78,clear sky
200,Kruisfontein,ZA,2021-07-22 23:35:24,-34.0033,24.7314,43.88,84,92,5.88,light rain
201,Geraldton,AU,2021-07-22 23:35:24,-28.7667,114.6,54.01,94,40,10.36,scattered clouds
202,Isangel,VU,2021-07-22 23:35:24,-19.55,169.2667,84.31,70,75,5.75,broken clouds
203,Yinchuan,CN,2021-07-22 23:35:25,38.4681,106.2731,78.66,60,62,5.5,broken clouds
204,Puerto Baquerizo Moreno,EC,2021-07-22 23:35:25,-0.9,-89.6,71.96,81,98,13.6,overcast clouds
205,Kaitangata,NZ,2021-07-22 23:35:25,-46.2817,169.8464,48.92,64,7,5.28,clear sky
206,Vestmanna,FO,2021-07-22 23:35:26,62.1564,-7.1664,47.32,100,20,2.3,few clouds
207,Bethel,US,2021-07-22 23:31:10,41.3712,-73.414,77.65,70,1,5.75,clear sky
208,Manoharpur,IN,2021-07-22 23:35:26,27.3,75.95,79.75,80,99,1.01,overcast clouds
209,Astana,KZ,2021-07-22 23:32:45,51.1801,71.446,55.35,76,0,6.71,clear sky
210,Brae,GB,2021-07-22 23:35:27,60.3964,-1.353,51.71,77,100,7.63,overcast clouds
211,Mar Del Plata,AR,2021-07-22 23:35:27,-38.0023,-57.5575,57.09,76,0,7.0,clear sky
212,Berlevag,NO,2021-07-22 23:35:27,70.8578,29.0864,43.7,82,100,27.56,overcast clouds
213,Grasten,DK,2021-07-22 23:35:27,54.9192,9.5952,60.1,86,75,1.99,broken clouds
214,Rocha,UY,2021-07-22 23:35:26,-34.4833,-54.3333,49.41,76,86,6.82,overcast clouds
215,Pafos,CY,2021-07-22 23:35:28,34.7667,32.4167,78.71,78,90,4.61,overcast clouds
216,Ozernovskiy,RU,2021-07-22 23:35:28,51.5,156.5167,53.49,87,100,1.43,overcast clouds
217,Kahramanmaras,TR,2021-07-22 23:35:29,38.0,37.0,68.63,64,0,6.69,clear sky
218,Saint-Pierre,RE,2021-07-22 23:35:29,-21.3393,55.4781,65.88,65,0,9.22,clear sky
219,Vysokogornyy,RU,2021-07-22 23:35:29,50.1167,139.15,79.93,74,66,1.77,broken clouds
220,Iqaluit,CA,2021-07-22 23:35:30,63.7506,-68.5145,49.73,93,90,11.01,light intensity drizzle
221,Senno,RU,2021-07-22 23:35:30,59.5336,33.9167,52.27,97,76,4.38,moderate rain
222,Tamiahua,MX,2021-07-22 23:32:43,21.2667,-97.45,84.4,74,29,11.16,scattered clouds
223,Arraial Do Cabo,BR,2021-07-22 23:35:30,-22.9661,-42.0278,62.56,94,20,4.61,few clouds
224,Sapa,PH,2021-07-22 23:35:31,5.1544,120.3241,83.62,81,91,13.78,overcast clouds
225,Gigmoto,PH,2021-07-22 23:35:31,13.7796,124.39,83.19,79,100,18.1,light rain
226,Nalut,LY,2021-07-22 23:35:32,30.3333,10.85,77.9,41,0,14.45,clear sky
227,Oussouye,SN,2021-07-22 23:35:32,12.485,-16.5469,84.38,75,59,10.83,broken clouds
228,Qaqortoq,GL,2021-07-22 23:35:32,60.7167,-46.0333,52.3,93,71,4.32,light rain
